,case_number,type,country,area,location,species_,date,mes,fatal_(y/n)_limpio,sex,country_,year,age
5766,1955.11.00,Unprovoked,Unknown,,,Unspecified,Nov-1955,,N,F,,1991.5833443275412,25.0
5767,1955.10.16,Unprovoked,Unknown,,,Unspecified,16-Oct-1955,Oct,N,M,,1991.5833443275412,25.0
5768,1955.09.23.b,Unprovoked,Unknown,,,Unspecified,23-Sep-1955,Sep,Y,F,,1991.5833443275412,25.0
5769,1955.09.23.a,Unprovoked,Unknown,,,Unspecified,23-Sep-1955,Sep,N,M,,1991.5833443275412,25.0
5770,1955.09.20,Unprovoked,Unknown,,,Unspecified,20-Sep-1955,Sep,N,F,,1991.5833443275412,25.0
5771,1955.09.04,Unprovoked,Unknown,,,Unspecified,04-Sep-1955,Sep,N,F,,1991.5833443275412,25.0
5772,1955.09.03,Unprovoked,Unknown,,,Unspecified,03-Sep-1955,Sep,N,M,,1991.5833443275412,25.0
5773,1955.08.30.b,Unprovoked,Unknown,,,Unspecified,30-Aug-1955,Aug,Y,F,,1991.5833443275412,25.0
5774,1955.08.30.a,Unprovoked,Unknown,,,Unspecified,30-Aug-1955,Aug,N,M,,1991.5833443275412,25.0
5775,1955.08.26,Unprovoked,Unknown,,,Unspecified,26-Aug-1955,Aug,Y,F,,1991.5833443275412,25.0
5776,1955.08.08,Unprovoked,Unknown,,,Unspecified,08-Aug-1955,Aug,Y,F,,1991.5833443275412,25.0
5777,1955.08.04.R,Unprovoked,Unknown,,,Unspecified,Reported 04-Aug-1955,Aug,N,F,,1991.5833443275412,25.0
5778,1955.08.00.c,Unprovoked,Unknown,,,Unspecified,Aug-1955,,N,M,,1991.5833443275412,25.0
5779,1955.08.00.a,Unprovoked,Unknown,,,Unspecified,Aug-1955,,N,F,,1991.5833443275412,25.0
5780,1955.07.25,Unprovoked,Unknown,,,Unspecified,25-Jul-1955,Jul,Y,F,,1991.5833443275412,25.0
5781,1955.07.23,Unprovoked,Unknown,,,Unspecified,23-Jun-1955,Jun,N,F,,1991.5833443275412,25.0
5782,1955.07.15,Unprovoked,Unknown,,,Unspecified,15-Jul-1955,Jul,Y,M,,1991.5833443275412,25.0
5783,1955.07.07,Unprovoked,Unknown,,,Unspecified,07-Jul-1955,Jul,Y,F,,1991.5833443275412,25.0
5784,1955.05.08,Unprovoked,Unknown,,,Unspecified,08-May-1955,May,N,M,,1991.5833443275412,25.0
5785,1955.05.00,Unprovoked,Unknown,,,Unspecified,May 1955,,N,M,,1991.5833443275412,25.0
